#start
#stop
# omega	 amplitude	 phase
0	1.20162	0
0.15708	1.10251	-0.332762
0.314159	0.863128	-0.557867
0.471239	0.650193	-0.536807
0.628319	0.627585	-0.368052
0.785398	0.703759	-0.367963
0.942478	0.736854	-0.472075
1.09956	0.726957	-0.557748
1.25664	0.725122	-0.612382
1.41372	0.737924	-0.682217
1.5708	0.739349	-0.769669
1.72788	0.728736	-0.844638
1.88496	0.725328	-0.9058
2.04204	0.729602	-0.975864
2.19911	0.727064	-1.05457
2.35619	0.718169	-1.12383
2.51327	0.715036	-1.18394
2.67035	0.717291	-1.25027
2.82743	0.714904	-1.32197
2.98451	0.708647	-1.38588
3.14159	0.707481	-1.44287
3.29867	0.710818	-1.50474
3.45575	0.710967	-1.57047
3.61283	0.708822	-1.62978
3.76991	0.711523	-1.68389
3.92699	0.718372	-1.74238
4.08407	0.723115	-1.80417
4.24115	0.726687	-1.86105
4.39823	0.73499	-1.91447
4.55531	0.747235	-1.97228
4.71239	0.758136	-2.03339
4.86947	0.768596	-2.09121
5.02655	0.783583	-2.1472
5.18363	0.802263	-2.20769
5.34071	0.820049	-2.2716
5.49779	0.837729	-2.33366
5.65487	0.859558	-2.39508
5.81195	0.884756	-2.46083
5.96903	0.909272	-2.52997
6.12611	0.93371	-2.59826
6.28319	0.961778	-2.66655
6.44026	0.992853	-2.73868
6.59734	1.02332	-2.81396
6.75442	1.05355	-2.88894
6.9115	1.08686	-2.96412
7.06858	1.12285	-3.04251
7.22566	1.15824	-3.12368
7.38274	1.19316	3.07833
7.53982	1.23058	2.997
7.6969	1.2704	2.91313
7.85398	1.30967	2.82686
8.01106	1.34822	2.74043
8.16814	1.38873	2.65393
8.32522	1.43138	2.56547
8.4823	1.4735	2.47498
8.63938	1.51468	2.38427
8.79646	1.55735	2.29361
8.95354	1.60195	2.20145
9.11062	1.6461	2.10755
9.2677	1.68908	2.01335
9.42478	1.73302	1.9193
9.58186	1.77868	1.82417
9.73894	1.82401	1.72758
9.89602	1.86806	1.63064
10.0531	1.91266	1.53386
10.2102	1.95873	1.43629
10.3673	2.00448	1.33747
10.5243	2.04879	1.23832
10.6814	2.09328	1.13937
10.8385	2.13912	1.03989
10.9956	2.18479	0.939312
11.1527	2.22893	0.838312
11.3097	2.27274	0.737507
11.4668	2.31757	0.636392
11.6239	2.36232	0.534414
11.781	2.40566	0.432024
11.9381	2.44849	0.329767
12.0951	2.49209	0.227262
12.2522	2.53549	0.123997
12.4093	2.5773	0.0203492
12.5664	2.61827	-0.0831018
12.7235	2.65996	-0.186628
12.8805	2.70177	-0.290821
13.0376	2.74208	-0.395513
13.1947	2.7811	-0.500133
13.3518	2.82021	-0.604721
13.5088	2.85934	-0.709726
13.6659	2.89731	-0.815112
13.823	2.93423	-0.920491
13.9801	2.97117	-1.02594
14.1372	3.00784	-1.13184
14.2942	3.04288	-1.2381
14.4513	3.07643	-1.34422
14.6084	3.11011	-1.45018
14.7655	3.14418	-1.55653
14.9226	3.17707	-1.66342
15.0796	3.208	-1.77042
15.2367	3.23795	-1.87726
15.3938	3.26779	-1.98415
15.5509	3.29702	-2.09129
15.708	3.32527	-2.19858
15.865	3.35292	-2.306
16.0221	3.37978	-2.41371
16.1792	3.40487	-2.52165
16.3363	3.4283	-2.62941
16.4934	3.45173	-2.73693
16.6504	3.47582	-2.84473
16.8075	3.49891	-2.95315
16.9646	3.51936	-3.06181
17.1217	3.53786	3.113
17.2788	3.55625	3.00492
17.4358	3.57508	2.89667
17.5929	3.59339	2.78803
17.75	3.61018	2.67904
17.9071	3.62496	2.56993
18.0642	3.63792	2.46097
18.2212	3.65024	2.35231
18.3783	3.66336	2.24369
18.5354	3.6768	2.13452
18.6925	3.688	2.02472
18.8496	3.69565	1.91497
19.0066	3.7019	1.80589
19.1637	3.70974	1.69712
19.3208	3.71886	1.58775
19.4779	3.72601	1.47757
19.635	3.72932	1.3673
19.792	3.73057	1.25764
19.9491	3.73276	1.14846
20.1062	3.7366	1.03897
20.2633	3.73978	0.928666
20.4204	3.73953	0.817916
20.5774	3.73592	0.707599
20.7345	3.73233	0.59807
20.8916	3.73142	0.488538
21.0487	3.73107	0.377975
21.2058	3.7266	0.26665
21.3628	3.71764	0.155948
21.5199	3.70948	0.0463616
21.677	3.70532	-0.0634424
21.8341	3.70088	-0.174667
21.9911	3.69067	-0.286409
22.1482	3.67693	-0.396977
22.3053	3.66637	-0.506612
22.4624	3.6594	-0.617191
22.6195	3.64926	-0.729174
22.7765	3.6331	-0.840827
22.9336	3.61668	-0.951059
23.0907	3.60482	-1.06122
23.2478	3.59352	-1.17284
23.4049	3.57687	-1.2851
23.5619	3.55684	-1.39626
23.719	3.53967	-1.50659
23.8761	3.52531	-1.6178
24.0332	3.508	-1.73012
24.1903	3.48628	-1.84202
24.3473	3.46506	-1.95289
24.5044	3.4469	-2.064
24.6615	3.42796	-2.17619
24.8186	3.40512	-2.28851
24.9757	3.38117	-2.39998
25.1327	3.35952	-2.51126
25.2898	3.33834	-2.62337
25.4469	3.3143	-2.73589
25.604	3.28849	-2.84785
25.7611	3.26408	-2.95945
25.9181	3.24056	-3.07163
26.0752	3.21506	3.09888
26.2323	3.18769	2.98657
26.3894	3.16113	2.87466
26.5465	3.13564	2.76233
26.7035	3.10876	2.64947
26.8606	3.08	2.53681
27.0177	3.05159	2.42458
27.1748	3.02433	2.31209
27.3319	2.99624	2.19905
27.4889	2.96637	2.08607
27.646	2.9365	1.97352
27.8031	2.90776	1.86082
27.9602	2.87859	1.74758
28.1173	2.84777	1.63428
28.2743	2.81668	1.5214
28.4314	2.78669	1.4085
28.5885	2.75668	1.29506
28.7456	2.72521	1.18145
28.9027	2.6932	1.06821
29.0597	2.66215	0.955049
29.2168	2.63138	0.841414
29.3739	2.59942	0.727515
29.531	2.56677	0.613927
29.6881	2.53495	0.500504
29.8451	2.50366	0.386652
30.0022	2.4714	0.272447
30.1593	2.43831	0.15849
30.3164	2.40587	0.0447847
30.4734	2.37418	-0.0692678
30.6305	2.34182	-0.183743
30.7876	2.30857	-0.29806
30.9447	2.27579	-0.412078
31.1018	2.24385	-0.52636
31.2588	2.2115	-0.641105
31.4159	2.17825	-0.755771
31.573	2.14531	-0.870087
31.7301	2.11331	-0.984571
31.8872	2.08118	-1.09956
32.0442	2.04818	-1.21457
32.2013	2.01528	-1.32921
32.3584	1.98333	-1.44391
32.5155	1.95152	-1.5591
32.6726	1.91895	-1.67441
32.8296	1.88633	-1.78934
32.9867	1.85466	-1.90423
33.1438	1.82336	-2.0196
33.3009	1.7914	-2.13519
33.458	1.75926	-2.25042
33.615	1.72801	-2.36546
33.7721	1.69737	-2.48095
33.9292	1.66626	-2.59676
34.0863	1.63487	-2.71225
34.2434	1.60427	-2.82746
34.4004	1.57444	-2.94305
34.5575	1.54434	-3.05904
34.7146	1.5139	3.10842
34.8717	1.48415	2.99306
35.0288	1.45533	2.87742
35.1858	1.42645	2.76127
35.3429	1.39719	2.64529
35.5	1.36849	2.52976
35.6571	1.3408	2.41404
35.8142	1.31326	2.29776
35.9712	1.28536	2.18152
36.1283	1.25788	2.06577
36.2854	1.23144	1.94994
36.4425	1.20535	1.83349
36.5996	1.17892	1.71693
36.7566	1.15275	1.60088
36.9137	1.12761	1.48489
37.0708	1.103	1.36825
37.2279	1.07811	1.25132
37.385	1.05333	1.13488
37.542	1.0295	1.01863
37.6991	1.00636	0.901741
37.8562	0.983017	0.784391
38.0133	0.959647	0.667459
38.1704	0.937123	0.550866
38.3274	0.915393	0.433684
38.4845	0.893584	0.315867
38.6416	0.871635	0.198357
38.7987	0.850391	0.0813184
38.9557	0.830018	-0.0362142
39.1128	0.809697	-0.154544
39.2699	0.789157	-0.27272
39.427	0.769162	-0.39031
39.5841	0.750078	-0.508249
39.7411	0.731191	-0.627121
39.8982	0.712047	-0.746046
40.0553	0.693281	-0.864312
40.2124	0.675417	-0.982749
40.3695	0.657889	-1.10222
40.5265	0.640102	-1.22197
40.6836	0.622531	-1.34104
40.8407	0.605821	-1.46006
40.9978	0.589584	-1.58017
41.1549	0.573124	-1.70087
41.3119	0.556717	-1.82092
41.469	0.54108	-1.94068
41.6261	0.526031	-2.0615
41.7832	0.510835	-2.18322
41.9403	0.495563	-2.30442
42.0973	0.480938	-2.42511
42.2544	0.466986	-2.54677
42.4115	0.452982	-2.66965
42.5686	0.438787	-2.79227
42.7257	0.425083	-2.91412
42.8827	0.412101	-3.03675
43.0398	0.399198	3.12225
43.1969	0.386035	2.99795
43.354	0.373174	2.87454
43.5111	0.361022	2.75064
43.6681	0.349073	2.62493
43.8252	0.336831	2.49858
43.9823	0.324686	2.37313
44.1394	0.313179	2.24761
44.2965	0.302001	2.12007
44.4535	0.290524	1.99111
44.6106	0.278874	1.86279
44.7677	0.267656	1.735
44.9248	0.256845	1.60528
45.0819	0.245702	1.47291
45.2389	0.233798	1.34053
45.396	0.221549	1.21137
45.5531	0.209712	1.0861
45.7102	0.198668	0.962596
45.8673	0.188111	0.838039
46.0243	0.177258	0.71248
46.1814	0.165695	0.591779
46.3385	0.154411	0.484607
46.4956	0.145439	0.391218
46.6527	0.139609	0.296872
46.8097	0.135187	0.18668
46.9668	0.12988	0.0633361
47.1239	0.123387	-0.059684
47.281	0.116965	-0.177224
47.438	0.111045	-0.296414
47.5951	0.104683	-0.420067
47.7522	0.0974667	-0.53745
47.9093	0.0905186	-0.63824
48.0664	0.0849911	-0.727801
48.2234	0.080646	-0.817806
48.3805	0.0768369	-0.908906
48.5376	0.0737351	-0.998468
48.6947	0.071517	-1.09458
48.8518	0.0694155	-1.20479
49.0088	0.066698	-1.32129
49.1659	0.0637407	-1.43288
49.323	0.0612017	-1.54322
49.4801	0.0587795	-1.66241
49.6372	0.055811	-1.78595
49.7942	0.0525337	-1.90052
49.9513	0.0496881	-2.00687
50.1084	0.0472069	-2.11806
50.2655	0.0444383	-2.23306
50.4226	0.0414714	-2.33597
50.5796	0.0390703	-2.42504
50.7367	0.0373104	-2.51881
50.8938	0.0354883	-2.62204
51.0509	0.0334798	-2.71731
51.208	0.0319384	-2.80039
51.365	0.0309833	-2.89285
51.5221	0.0299037	-3.00233
51.6792	0.0284514	-3.10823
51.8363	0.0272278	3.08264
51.9934	0.0264878	2.98269
52.1504	0.0256212	2.86322
52.3075	0.0242964	2.74579
52.4646	0.0230563	2.64689
52.6217	0.0222959	2.54601
52.7788	0.0215159	2.42382
52.9358	0.0202832	2.30062
53.0929	0.0190361	2.20076
53.25	0.0182747	2.10598
53.4071	0.0176191	1.98762
53.5642	0.0165523	1.86332
53.7212	0.0153929	1.76654
53.8783	0.0147118	1.68282
54.0354	0.0142464	1.57226
54.1925	0.0134171	1.44805
