#start
#stop
# omega	 amplitude	 phase
0	0.00443113	0
0.15708	0.00443086	-0.0785398
0.314159	0.00443004	-0.15708
0.471239	0.00442868	-0.235619
0.628319	0.00442676	-0.314159
0.785398	0.00442431	-0.392699
0.942478	0.00442131	-0.471239
1.09956	0.00441776	-0.549779
1.25664	0.00441368	-0.628319
1.41372	0.00440905	-0.706858
1.5708	0.00440389	-0.785398
1.72788	0.00439818	-0.863938
1.88496	0.00439195	-0.942478
2.04204	0.00438518	-1.02102
2.19911	0.00437788	-1.09956
2.35619	0.00437006	-1.1781
2.51327	0.00436171	-1.25664
2.67035	0.00435284	-1.33518
2.82743	0.00434345	-1.41372
2.98451	0.00433355	-1.49226
3.14159	0.00432314	-1.5708
3.29867	0.00431222	-1.64934
3.45575	0.0043008	-1.72788
3.61283	0.00428887	-1.80642
3.76991	0.00427646	-1.88496
3.92699	0.00426355	-1.9635
4.08407	0.00425016	-2.04204
4.24115	0.00423629	-2.12058
4.39823	0.00422194	-2.19911
4.55531	0.00420712	-2.27765
4.71239	0.00419184	-2.35619
4.86947	0.00417609	-2.43473
5.02655	0.0041599	-2.51327
5.18363	0.00414325	-2.59181
5.34071	0.00412616	-2.67035
5.49779	0.00410864	-2.74889
5.65487	0.00409068	-2.82743
5.81195	0.0040723	-2.90597
5.96903	0.00405351	-2.98451
6.12611	0.0040343	-3.06305
6.28319	0.00401469	-3.14159
6.44026	0.00399468	3.06305
6.59734	0.00397428	2.98451
6.75442	0.0039535	2.90597
6.9115	0.00393234	2.82743
7.06858	0.00391081	2.74889
7.22566	0.00388891	2.67035
7.38274	0.00386667	2.59181
7.53982	0.00384408	2.51327
7.6969	0.00382114	2.43473
7.85398	0.00379788	2.35619
8.01106	0.00377429	2.27765
8.16814	0.00375039	2.19911
8.32522	0.00372618	2.12058
8.4823	0.00370166	2.04204
8.63938	0.00367686	1.9635
8.79646	0.00365177	1.88496
8.95354	0.0036264	1.80642
9.11062	0.00360077	1.72788
9.2677	0.00357487	1.64934
9.42478	0.00354873	1.5708
9.58186	0.00352234	1.49226
9.73894	0.00349572	1.41372
9.89602	0.00346887	1.33518
10.0531	0.0034418	1.25664
10.2102	0.00341452	1.1781
10.3673	0.00338704	1.09956
10.5243	0.00335936	1.02102
10.6814	0.0033315	0.942478
10.8385	0.00330347	0.863938
10.9956	0.00327527	0.785398
11.1527	0.0032469	0.706858
11.3097	0.00321839	0.628319
11.4668	0.00318973	0.549779
11.6239	0.00316094	0.471239
11.781	0.00313202	0.392699
11.9381	0.00310298	0.314159
12.0951	0.00307383	0.235619
12.2522	0.00304458	0.15708
12.4093	0.00301524	0.0785398
12.5664	0.00298581	-1.34183e-13
12.7235	0.00295631	-0.0785398
12.8805	0.00292673	-0.15708
13.0376	0.00289709	-0.235619
13.1947	0.0028674	-0.314159
13.3518	0.00283766	-0.392699
13.5088	0.00280789	-0.471239
13.6659	0.00277808	-0.549779
13.823	0.00274826	-0.628319
13.9801	0.00271841	-0.706858
14.1372	0.00268856	-0.785398
14.2942	0.00265871	-0.863938
14.4513	0.00262887	-0.942478
14.6084	0.00259904	-1.02102
14.7655	0.00256923	-1.09956
14.9226	0.00253945	-1.1781
15.0796	0.00250971	-1.25664
15.2367	0.00248001	-1.33518
15.3938	0.00245035	-1.41372
15.5509	0.00242076	-1.49226
15.708	0.00239122	-1.5708
15.865	0.00236176	-1.64934
16.0221	0.00233237	-1.72788
16.1792	0.00230306	-1.80642
16.3363	0.00227384	-1.88496
16.4934	0.00224471	-1.9635
16.6504	0.00221569	-2.04204
16.8075	0.00218677	-2.12058
16.9646	0.00215796	-2.19911
17.1217	0.00212926	-2.27765
17.2788	0.00210069	-2.35619
17.4358	0.00207225	-2.43473
17.5929	0.00204394	-2.51327
17.75	0.00201577	-2.59181
17.9071	0.00198774	-2.67035
18.0642	0.00195986	-2.74889
18.2212	0.00193213	-2.82743
18.3783	0.00190456	-2.90597
18.5354	0.00187715	-2.98451
18.6925	0.0018499	-3.06305
18.8496	0.00182283	-3.14159
19.0066	0.00179593	3.06305
19.1637	0.00176921	2.98451
19.3208	0.00174268	2.90597
19.4779	0.00171633	2.82743
19.635	0.00169017	2.74889
19.792	0.0016642	2.67035
19.9491	0.00163843	2.59181
20.1062	0.00161286	2.51327
20.2633	0.00158749	2.43473
20.4204	0.00156233	2.35619
20.5774	0.00153738	2.27765
20.7345	0.00151264	2.19911
20.8916	0.00148811	2.12058
21.0487	0.00146381	2.04204
21.2058	0.00143972	1.9635
21.3628	0.00141585	1.88496
21.5199	0.00139221	1.80642
21.677	0.00136879	1.72788
21.8341	0.0013456	1.64934
21.9911	0.00132264	1.5708
22.1482	0.00129991	1.49226
22.3053	0.00127742	1.41372
22.4624	0.00125515	1.33518
22.6195	0.00123313	1.25664
22.7765	0.00121134	1.1781
22.9336	0.00118979	1.09956
23.0907	0.00116848	1.02102
23.2478	0.00114741	0.942478
23.4049	0.00112658	0.863938
23.5619	0.00110599	0.785398
23.719	0.00108565	0.706858
23.8761	0.00106554	0.628319
24.0332	0.00104568	0.549779
24.1903	0.00102607	0.471239
24.3473	0.0010067	0.392699
24.5044	0.000987567	0.314159
24.6615	0.000968682	0.235619
24.8186	0.000950042	0.15708
24.9757	0.000931645	0.0785398
25.1327	0.000913492	-8.43987e-13
25.2898	0.000895582	-0.0785398
25.4469	0.000877914	-0.15708
25.604	0.00086049	-0.235619
25.7611	0.000843306	-0.314159
25.9181	0.000826365	-0.392699
26.0752	0.000809663	-0.471239
26.2323	0.000793201	-0.549779
26.3894	0.000776979	-0.628319
26.5465	0.000760994	-0.706858
26.7035	0.000745245	-0.785398
26.8606	0.000729733	-0.863938
27.0177	0.000714456	-0.942478
27.1748	0.000699412	-1.02102
27.3319	0.0006846	-1.09956
27.4889	0.00067002	-1.1781
27.646	0.000655669	-1.25664
27.8031	0.000641546	-1.33518
27.9602	0.00062765	-1.41372
28.1173	0.000613979	-1.49226
28.2743	0.000600532	-1.5708
28.4314	0.000587307	-1.64934
28.5885	0.000574302	-1.72788
28.7456	0.000561516	-1.80642
28.9027	0.000548947	-1.88496
29.0597	0.000536594	-1.9635
29.2168	0.000524453	-2.04204
29.3739	0.000512524	-2.12058
29.531	0.000500804	-2.19911
29.6881	0.000489292	-2.27765
29.8451	0.000477986	-2.35619
30.0022	0.000466883	-2.43473
30.1593	0.000455982	-2.51327
30.3164	0.000445281	-2.59181
30.4734	0.000434777	-2.67035
30.6305	0.000424468	-2.74889
30.7876	0.000414353	-2.82743
30.9447	0.000404429	-2.90597
31.1018	0.000394694	-2.98451
31.2588	0.000385146	-3.06305
31.4159	0.000375782	-3.14159
31.573	0.000366601	3.06305
31.7301	0.0003576	2.98451
31.8872	0.000348777	2.90597
32.0442	0.00034013	2.82743
32.2013	0.000331656	2.74889
32.3584	0.000323353	2.67035
32.5155	0.000315219	2.59181
32.6726	0.000307253	2.51327
32.8296	0.00029945	2.43473
32.9867	0.00029181	2.35619
33.1438	0.000284329	2.27765
33.3009	0.000277006	2.19911
33.458	0.000269838	2.12058
33.615	0.000262824	2.04204
33.7721	0.00025596	1.9635
33.9292	0.000249244	1.88496
34.0863	0.000242675	1.80642
34.2434	0.00023625	1.72788
34.4004	0.000229967	1.64934
34.5575	0.000223823	1.5708
34.7146	0.000217816	1.49226
34.8717	0.000211945	1.41372
35.0288	0.000206206	1.33518
35.1858	0.000200598	1.25664
35.3429	0.000195118	1.1781
35.5	0.000189765	1.09956
35.6571	0.000184536	1.02102
35.8142	0.000179428	0.942478
35.9712	0.000174441	0.863938
36.1283	0.000169571	0.785398
36.2854	0.000164817	0.706858
36.4425	0.000160176	0.628319
36.5996	0.000155647	0.549779
36.7566	0.000151228	0.471239
36.9137	0.000146915	0.392699
37.0708	0.000142708	0.314159
37.2279	0.000138605	0.235619
37.385	0.000134602	0.15708
37.542	0.000130699	0.0785398
37.6991	0.000126894	-8.52018e-12
37.8562	0.000123184	-0.0785398
38.0133	0.000119568	-0.15708
38.1704	0.000116044	-0.235619
38.3274	0.00011261	-0.314159
38.4845	0.000109264	-0.392699
38.6416	0.000106004	-0.471239
38.7987	0.000102829	-0.549779
38.9557	9.97368e-05	-0.628319
39.1128	9.67255e-05	-0.706858
39.2699	9.37936e-05	-0.785398
39.427	9.09393e-05	-0.863938
39.5841	8.8161e-05	-0.942478
39.7411	8.54571e-05	-1.02102
39.8982	8.28258e-05	-1.09956
40.0553	8.02657e-05	-1.1781
40.2124	7.77751e-05	-1.25664
40.3695	7.53525e-05	-1.33518
40.5265	7.29963e-05	-1.41372
40.6836	7.07051e-05	-1.49226
40.8407	6.84774e-05	-1.5708
40.9978	6.63116e-05	-1.64934
41.1549	6.42065e-05	-1.72788
41.3119	6.21605e-05	-1.80642
41.469	6.01722e-05	-1.88496
41.6261	5.82404e-05	-1.9635
41.7832	5.63637e-05	-2.04204
41.9403	5.45407e-05	-2.12058
42.0973	5.27701e-05	-2.19911
42.2544	5.10508e-05	-2.27765
42.4115	4.93813e-05	-2.35619
42.5686	4.77606e-05	-2.43473
42.7257	4.61873e-05	-2.51327
42.8827	4.46604e-05	-2.59181
43.0398	4.31786e-05	-2.67035
43.1969	4.17409e-05	-2.74889
43.354	4.0346e-05	-2.82743
43.5111	3.89929e-05	-2.90597
43.6681	3.76806e-05	-2.98451
43.8252	3.64079e-05	-3.06305
43.9823	3.51739e-05	-3.14159
44.1394	3.39775e-05	3.06305
44.2965	3.28178e-05	2.98451
44.4535	3.16937e-05	2.90597
44.6106	3.06044e-05	2.82743
44.7677	2.95488e-05	2.74889
44.9248	2.85262e-05	2.67035
45.0819	2.75355e-05	2.59181
45.2389	2.6576e-05	2.51327
45.396	2.56467e-05	2.43473
45.5531	2.47469e-05	2.35619
45.7102	2.38757e-05	2.27765
45.8673	2.30323e-05	2.19911
46.0243	2.2216e-05	2.12058
46.1814	2.1426e-05	2.04204
46.3385	2.06615e-05	1.9635
46.4956	1.99218e-05	1.88496
46.6527	1.92063e-05	1.80642
46.8097	1.85141e-05	1.72788
46.9668	1.78447e-05	1.64934
47.1239	1.71974e-05	1.5708
47.281	1.65715e-05	1.49226
47.438	1.59665e-05	1.41372
47.5951	1.53816e-05	1.33518
47.7522	1.48163e-05	1.25664
47.9093	1.427e-05	1.1781
48.0664	1.37422e-05	1.09956
48.2234	1.32323e-05	1.02102
48.3805	1.27397e-05	0.942478
48.5376	1.22639e-05	0.863938
48.6947	1.18045e-05	0.785398
48.8518	1.13609e-05	0.706858
49.0088	1.09325e-05	0.628319
49.1659	1.05191e-05	0.549779
49.323	1.012e-05	0.471239
49.4801	9.73487e-06	0.392699
49.6372	9.36323e-06	0.314159
49.7942	9.00468e-06	0.235619
49.9513	8.65878e-06	0.15708
50.1084	8.32515e-06	0.0785398
50.2655	8.00338e-06	-1.65357e-10
50.4226	7.6931e-06	-0.0785398
50.5796	7.39394e-06	-0.15708
50.7367	7.10553e-06	-0.235619
50.8938	6.82753e-06	-0.314159
51.0509	6.5596e-06	-0.392699
51.208	6.30141e-06	-0.471239
51.365	6.05263e-06	-0.549779
51.5221	5.81295e-06	-0.628319
51.6792	5.58208e-06	-0.706858
51.8363	5.35972e-06	-0.785398
51.9934	5.14558e-06	-0.863938
52.1504	4.93938e-06	-0.942478
52.3075	4.74087e-06	-1.02102
52.4646	4.54977e-06	-1.09956
52.6217	4.36583e-06	-1.1781
52.7788	4.18882e-06	-1.25664
52.9358	4.01848e-06	-1.33518
53.0929	3.8546e-06	-1.41372
53.25	3.69694e-06	-1.49226
53.4071	3.5453e-06	-1.5708
53.5642	3.39945e-06	-1.64934
53.7212	3.25921e-06	-1.72788
53.8783	3.12436e-06	-1.80642
54.0354	2.99472e-06	-1.88496
54.1925	2.87011e-06	-1.9635
54.3496	2.75034e-06	-2.04204
54.5066	2.63525e-06	-2.12058
54.6637	2.52466e-06	-2.19911
54.8208	2.41842e-06	-2.27765
54.9779	2.31636e-06	-2.35619
55.135	2.21833e-06	-2.43473
55.292	2.12419e-06	-2.51327
55.4491	2.03379e-06	-2.59181
55.6062	1.947e-06	-2.67035
55.7633	1.86368e-06	-2.74889
55.9203	1.78371e-06	-2.82743
56.0774	1.70696e-06	-2.90597
56.2345	1.63331e-06	-2.98451
56.3916	1.56265e-06	-3.06305
56.5487	1.49486e-06	-3.14159
56.7057	1.42983e-06	3.06305
56.8628	1.36746e-06	2.98451
57.0199	1.30766e-06	2.90597
57.177	1.25031e-06	2.82743
57.3341	1.19533e-06	2.74889
57.4911	1.14263e-06	2.67035
57.6482	1.09212e-06	2.59181
57.8053	1.04371e-06	2.51327
57.9624	9.9732e-07	2.43473
58.1195	9.52877e-07	2.35619
58.2765	9.10303e-07	2.27765
58.4336	8.69524e-07	2.19911
58.5907	8.30469e-07	2.12058
58.7478	7.9307e-07	2.04204
58.9049	7.57262e-07	1.9635
59.0619	7.22982e-07	1.88496
59.219	6.90168e-07	1.80642
59.3761	6.58762e-07	1.72788
59.5332	6.28708e-07	1.64934
59.6903	5.99951e-07	1.5708
59.8473	5.72439e-07	1.49226
60.0044	5.46121e-07	1.41372
60.1615	5.20949e-07	1.33518
60.3186	4.96875e-07	1.25664
60.4757	4.73856e-07	1.1781
60.6327	4.51847e-07	1.09956
60.7898	4.30807e-07	1.02102
60.9469	4.10697e-07	0.942478
61.104	3.91477e-07	0.863938
61.2611	3.7311e-07	0.785398
